Timetaken	MissingPercent	method
1	0.0810000000000173	20	PMM
2	0.0990000000000464	20	PMM
3	0.109999999999957	20	PMM
4	0.107000000000028	20	PMM
5	0.116999999999962	20	PMM
6	0.111999999999966	20	PMM
7	0.09699999999998	20	PMM
8	0.0939999999999941	20	PMM
9	0.0990000000000464	20	PMM
10	0.0989999999999895	20	PMM
11	0.0990000000000464	20	PMM
12	0.11099999999999	20	PMM
13	0.100000000000023	20	PMM
14	0.0980000000000132	20	PMM
15	0.103000000000009	20	PMM
16	0.104000000000042	20	PMM
17	0.111999999999966	20	PMM
18	0.0889999999999986	20	PMM
19	0.117000000000019	20	PMM
20	0.103000000000009	20	PMM
21	0.11099999999999	20	PMM
22	0.0980000000000132	20	PMM
23	0.0989999999999895	20	PMM
24	0.0980000000000132	20	PMM
25	0.106999999999971	20	PMM
26	0.0980000000000132	20	PMM
27	0.104999999999961	20	PMM
28	0.103000000000009	20	PMM
29	0.0949999999999704	20	PMM
30	0.103999999999985	20	PMM
31	0.108000000000004	20	PMM
32	0.105999999999995	20	PMM
33	0.100000000000023	20	PMM
34	0.113999999999976	20	PMM
35	0.108000000000004	20	PMM
36	0.107000000000028	20	PMM
37	0.100999999999999	20	PMM
38	0.106999999999971	20	PMM
39	0.100999999999999	20	PMM
40	0.104000000000042	20	PMM
41	0.101999999999975	20	PMM
42	0.100999999999999	20	PMM
43	0.106999999999971	20	PMM
44	0.105999999999995	20	PMM
45	0.0980000000000132	20	PMM
46	0.0980000000000132	20	PMM
47	0.09699999999998	20	PMM
48	0.107000000000028	20	PMM
49	0.0909999999999513	20	PMM
50	0.0810000000000173	20	PMM
51	0.0999999999999659	20	PMM
52	0.102000000000032	20	PMM
53	0.106000000000051	20	PMM
54	0.113	20	PMM
55	0.0939999999999941	20	PMM
56	0.105000000000018	20	PMM
57	0.105999999999995	20	PMM
58	0.0989999999999895	20	PMM
59	0.102000000000032	20	PMM
60	0.108000000000004	20	PMM
61	0.11099999999999	20	PMM
62	0.103999999999985	20	PMM
63	0.102000000000032	20	PMM
64	0.09699999999998	20	PMM
65	0.0960000000000036	20	PMM
66	0.0810000000000173	20	PMM
67	0.0740000000000123	20	PMM
68	0.100999999999999	20	PMM
69	0.110000000000014	20	PMM
70	0.0989999999999895	20	PMM
71	0.105999999999995	20	PMM
72	0.100000000000023	20	PMM
73	0.128999999999962	20	PMM
74	0.103999999999985	20	PMM
75	0.0979999999999563	20	PMM
76	0.110000000000014	20	PMM
77	0.10899999999998	20	PMM
78	0.103000000000009	20	PMM
79	0.103000000000009	20	PMM
80	0.107000000000028	20	PMM
81	0.105999999999995	20	PMM
82	0.0849999999999795	20	PMM
83	0.0810000000000173	20	PMM
84	0.108000000000004	20	PMM
85	0.105999999999995	20	PMM
86	0.100000000000023	20	PMM
87	0.101999999999975	20	PMM
88	0.0999999999999659	20	PMM
89	0.105000000000018	20	PMM
90	0.0919999999999845	20	PMM
91	0.103999999999985	20	PMM
92	0.0950000000000273	20	PMM
93	0.113	20	PMM
94	0.103000000000009	20	PMM
95	0.100000000000023	20	PMM
96	0.103000000000009	20	PMM
97	0.0979999999999563	20	PMM
98	0.0799999999999841	20	PMM
99	0.0749999999999886	20	PMM
100	0.0719999999999459	20	PMM
101	0.0989999999999895	40	PMM
102	0.100000000000023	40	PMM
103	0.100999999999999	40	PMM
104	0.0980000000000132	40	PMM
105	0.104999999999961	40	PMM
106	0.103999999999985	40	PMM
107	0.100000000000023	40	PMM
108	0.104999999999961	40	PMM
109	0.0989999999999895	40	PMM
110	0.105999999999995	40	PMM
111	0.0989999999999895	40	PMM
112	0.0990000000000464	40	PMM
113	0.100000000000023	40	PMM
114	0.100999999999999	40	PMM
115	0.0980000000000132	40	PMM
116	0.0980000000000132	40	PMM
117	0.0930000000000177	40	PMM
118	0.111999999999966	40	PMM
119	0.0999999999999659	40	PMM
120	0.101999999999975	40	PMM
121	0.100999999999999	40	PMM
122	0.100999999999999	40	PMM
123	0.106999999999971	40	PMM
124	0.105999999999995	40	PMM
125	0.100999999999999	40	PMM
126	0.10899999999998	40	PMM
127	0.100999999999999	40	PMM
128	0.100999999999999	40	PMM
129	0.101999999999975	40	PMM
130	0.104000000000042	40	PMM
131	0.105999999999995	40	PMM
132	0.0999999999999659	40	PMM
133	0.100999999999999	40	PMM
134	0.117000000000019	40	PMM
135	0.107999999999947	40	PMM
136	0.0999999999999659	40	PMM
137	0.0939999999999941	40	PMM
138	0.103000000000009	40	PMM
139	0.105999999999995	40	PMM
140	0.106999999999971	40	PMM
141	0.103999999999985	40	PMM
142	0.105000000000018	40	PMM
143	0.0999999999999659	40	PMM
144	0.106999999999971	40	PMM
145	0.100999999999999	40	PMM
146	0.101999999999975	40	PMM
147	0.103000000000009	40	PMM
148	0.105999999999995	40	PMM
149	0.100999999999999	40	PMM
150	0.0799999999999841	40	PMM
151	0.100000000000023	40	PMM
152	0.0980000000000132	40	PMM
153	0.0989999999999895	40	PMM
154	0.105000000000018	40	PMM
155	0.0970000000000368	40	PMM
156	0.103000000000009	40	PMM
157	0.0989999999999895	40	PMM
158	0.100999999999999	40	PMM
159	0.102000000000032	40	PMM
160	0.103999999999985	40	PMM
161	0.100000000000023	40	PMM
162	0.105000000000018	40	PMM
163	0.0999999999999659	40	PMM
164	0.103000000000009	40	PMM
165	0.0989999999999895	40	PMM
166	0.103000000000009	40	PMM
167	0.0790000000000077	40	PMM
168	0.100999999999999	40	PMM
169	0.100000000000023	40	PMM
170	0.107000000000028	40	PMM
171	0.109000000000037	40	PMM
172	0.103000000000009	40	PMM
173	0.0979999999999563	40	PMM
174	0.0989999999999895	40	PMM
175	0.101999999999975	40	PMM
176	0.105999999999995	40	PMM
177	0.100999999999999	40	PMM
178	0.0989999999999895	40	PMM
179	0.100999999999999	40	PMM
180	0.106999999999971	40	PMM
181	0.105000000000018	40	PMM
182	0.102000000000032	40	PMM
183	0.0919999999999845	40	PMM
184	0.104999999999961	40	PMM
185	0.104999999999961	40	PMM
186	0.103000000000009	40	PMM
187	0.0960000000000036	40	PMM
188	0.102000000000032	40	PMM
189	0.0999999999999659	40	PMM
190	0.105000000000018	40	PMM
191	0.108000000000004	40	PMM
192	0.105999999999995	40	PMM
193	0.103999999999985	40	PMM
194	0.105000000000018	40	PMM
195	0.103000000000009	40	PMM
196	0.0989999999999895	40	PMM
197	0.0989999999999895	40	PMM
198	0.105000000000018	40	PMM
199	0.0869999999999891	40	PMM
200	0.0729999999999791	40	PMM
201	0.0929999999999609	60	PMM
202	0.100999999999999	60	PMM
203	0.103000000000009	60	PMM
204	0.105999999999995	60	PMM
205	0.101999999999975	60	PMM
206	0.101999999999975	60	PMM
207	0.0989999999999895	60	PMM
208	0.104999999999961	60	PMM
209	0.106999999999971	60	PMM
210	0.101999999999975	60	PMM
211	0.100999999999999	60	PMM
212	0.104000000000042	60	PMM
213	0.103999999999985	60	PMM
214	0.105000000000018	60	PMM
215	0.104999999999961	60	PMM
216	0.107000000000028	60	PMM
217	0.0979999999999563	60	PMM
218	0.108000000000004	60	PMM
219	0.105999999999995	60	PMM
220	0.100999999999999	60	PMM
221	0.103999999999985	60	PMM
222	0.0980000000000132	60	PMM
223	0.100999999999999	60	PMM
224	0.110000000000014	60	PMM
225	0.0999999999999659	60	PMM
226	0.103999999999985	60	PMM
227	0.100000000000023	60	PMM
228	0.09699999999998	60	PMM
229	0.0939999999999941	60	PMM
230	0.102000000000032	60	PMM
231	0.0999999999999659	60	PMM
232	0.103000000000009	60	PMM
233	0.105000000000018	60	PMM
234	0.100999999999999	60	PMM
235	0.102999999999952	60	PMM
236	0.102999999999952	60	PMM
237	0.102000000000032	60	PMM
238	0.0999999999999659	60	PMM
239	0.101999999999975	60	PMM
240	0.0960000000000036	60	PMM
241	0.102000000000032	60	PMM
242	0.0999999999999659	60	PMM
243	0.0960000000000036	60	PMM
244	0.108000000000004	60	PMM
245	0.0999999999999659	60	PMM
246	0.0989999999999895	60	PMM
